Rider;1st;2nd;3rd;GC;POINTS;KOM;YOUTH
LASA Miguel María;2;0;1;0;0;0;0
VICHOT Frédéric;2;0;1;0;0;0;0
SOLLEVELD Gerrit;2;0;1;0;0;0;0
PHINNEY Davis;2;0;1;0;0;0;0
SØRENSEN Rolf;2;0;1;0;0;0;0
BALDATO Fabio;2;0;1;0;0;0;0
VAN BON Léon;2;0;1;0;0;0;0
HONCHAR Serhiy;2;0;1;0;0;0;0
GERRANS Simon;2;0;1;0;0;0;0
STEEGMANS Gert;2;0;1;0;0;0;0
CORT Magnus;2;0;1;0;0;0;0
KRAGH ANDERSEN Søren;2;0;1;0;0;0;0
BORGARELLO Vincenzo;2;0;0;0;0;0;0
HAEMERLINCK Alfred;2;0;0;0;0;0;0
NEUENS François;2;0;0;0;0;0;0
PASOTTI Alfredo;2;0;0;0;0;0;0
DE BREUKER Roger;2;0;0;0;0;0;0
VAN DE KERCKHOVE Bernard;2;0;0;0;0;0;0
DELISLE Raymond;2;0;0;0;0;0;0
PRIEM Cees;2;0;0;0;0;0;0
BREU Beat;2;0;0;0;0;0;0
TEBALDI Valerio;2;0;0;0;0;0;0
ARGENTIN Moreno;2;0;0;0;0;0;0
IVANOV Sergei;2;0;0;0;0;0;0
MERCADO Juan Miguel;2;0;0;0;0;0;0
RICCÒ Riccardo;2;0;0;0;0;0;0
CUMMINGS Steve;2;0;0;0;0;0;0
TEUNS Dylan;2;0;0;0;0;0;0
VANDENBERGHE Georges;1;8;7;0;0;0;0
DEGENKOLB John;1;7;2;0;0;0;0
MARTANO Giuseppe;1;6;5;0;0;0;0
EVANS Cadel;1;6;5;0;0;0;0
GROUSSARD Joseph;1;5;3;0;0;0;0
SKIBBY Jesper;1;5;2;0;0;0;0
SCHOTTE Briek;1;5;1;0;0;0;0
STÖPEL Kurt;1;4;8;0;0;0;0
FARRAR Tyler;1;4;4;0;0;0;0
BRUYÈRE Joseph;1;4;3;0;0;0;0
DOTTO Jean;1;4;2;0;0;0;0
SÁNCHEZ Samuel;1;4;1;0;0;0;0
MAITRON Julien;1;4;0;0;0;0;0
ALBAN Robert;1;4;0;0;0;0;0
FAVERO Vito;1;3;4;0;0;0;0
DE VLAEMINCK Roger;1;3;4;0;0;0;0
JACOBS Jos;1;3;4;0;0;0;0
BENEDETTI Rino;1;3;3;0;0;0;0
GAINCHE Jean;1;3;3;0;0;0;0
ANGLADE Henry;1;3;3;0;0;0;0
ANDERSEN Kim;1;3;3;0;0;0;0
CORNEZ Fernand;1;3;2;0;0;0;0
GAUTHIER Bernard;1;3;2;0;0;0;0
VIANEN Gerard;1;3;2;0;0;0;0
HERMANS Mathieu;1;3;2;0;0;0;0
COOKE Baden;1;3;2;0;0;0;0
DEJONGHE Albert;1;3;1;0;0;0;0
QUENTIN Maurice;1;3;1;0;0;0;0
THOMIN Joseph;1;3;1;0;0;0;0
BALDINI Ercole;1;3;1;0;0;0;0
GILBERT Philippe;1;3;1;0;0;0;0
PESENTI Antonio;1;3;0;0;0;0;0
GOASMAT Jean-Marie;1;3;0;0;0;0;0
COLOTTI Jean-Claude;1;3;0;0;0;0;0
NELISSEN Wilfried;1;3;0;0;0;0;0
ASGREEN Kasper;1;3;0;0;0;0;0
MOLINÉRIS Pierre;1;2;6;0;0;0;0
VAN HAUWAERT Cyrille;1;2;4;0;0;0;0
DANNEELS Gustaaf;1;2;4;0;0;0;0
MAGNE Pierre;1;2;3;0;0;0;0
RONSSE Georges;1;2;3;0;0;0;0
MERSCH Arsène;1;2;3;0;0;0;0
DE GROOT Daan;1;2;3;0;0;0;0
CARAPAZ Richard;1;2;3;0;0;0;0
CADOLLE Marcel;1;2;2;0;0;0;0
ALANCOURT Arsène;1;2;2;0;0;0;0
BEHEYT Benoni;1;2;2;0;0;0;0
GALERA Joaquín;1;2;2;0;0;0;0
PANIZZA Wladimiro;1;2;2;0;0;0;0
VAN VLIET Leo;1;2;2;0;0;0;0
LAVAINNE Christophe;1;2;2;0;0;0;0
GELDHOF Maurice;1;2;1;0;0;0;0
FAURE Benoît;1;2;1;0;0;0;0
WECKERLING Otto;1;2;1;0;0;0;0
BLOMME Maurice;1;2;1;0;0;0;0
MASSIGNAN Imerio;1;2;1;0;0;0;0
MINIERI Mario;1;2;1;0;0;0;0
AIMAR Lucien;1;2;1;0;0;0;0
RIOTTE Raymond;1;2;1;0;0;0;0
BATTAGLIN Giovanni;1;2;1;0;0;0;0
LAURENT Michel;1;2;1;0;0;0;0
DUFAUX Laurent;1;2;1;0;0;0;0
HAMILTON Tyler;1;2;1;0;0;0;0
GARCÍA ACOSTA José Vicente;1;2;1;0;0;0;0
PIIL Jakob Storm;1;2;1;0;0;0;0
MAYO Iban;1;2;1;0;0;0;0
BASSO Ivan;1;2;1;0;0;0;0
PEREIRO Óscar;1;2;1;0;0;0;0
PANTANO Jarlinson;1;2;1;0;0;0;0
URÁN Rigoberto;1;2;1;0;0;0;0
LAPORTE Christophe;1;2;1;0;0;0;0
VIVIANI Elia;1;2;1;0;0;0;0
DELOOR Gustaaf;1;2;0;0;0;0;0
CALLENS Norbert;1;2;0;0;0;0;0
BRANDS Frans;1;2;0;0;0;0;0
STEVENS Julien;1;2;0;0;0;0;0
GONZÁLEZ José Antonio;1;2;0;0;0;0;0
DELÉPINE Régis;1;2;0;0;0;0;0
GAUTHIER Jean-Louis;1;2;0;0;0;0;0
FREULER Urs;1;2;0;0;0;0;0
WÜST Marcel;1;2;0;0;0;0;0
LEIPHEIMER Levi;1;2;0;0;0;0;0
NEUVILLE François;1;1;6;0;0;0;0
PLANCKAERT Joseph;1;1;4;0;0;0;0
LEJARRETA Marino;1;1;4;0;0;0;0
MOREAU Christophe;1;1;4;0;0;0;0
EVENEPOEL Remco;1;1;4;0;0;0;0
BROCCO Maurice;1;1;3;0;0;0;0
CLEMENS Mathias;1;1;3;0;0;0;0
GALLIEN Pierre;1;1;3;0;0;0;0
ELLIOTT Seamus;1;1;3;0;0;0;0
LEMÉTEYER Paul;1;1;3;0;0;0;0
