Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
VAN BON Léon;2;0;1;2;0;0;0;0;0
DE CORTE Raymond;2;0;1;1;3;0;0;0;0
TASSIN Eloi;2;0;1;1;1;0;0;0;0
LASA Miguel María;2;0;1;1;1;0;0;0;0
MAJERUS Jean;2;0;1;1;0;0;0;0;0
ROBINSON Brian;2;0;1;1;0;0;0;0;0
GERRANS Simon;2;0;1;0;2;0;0;0;0
MIDDELKAMP Theo;2;0;1;0;1;0;0;0;0
BIAGIONI Serafino;2;0;1;0;1;0;0;0;0
SOLLEVELD Gerrit;2;0;1;0;1;0;0;0;0
CORT Magnus;2;0;1;0;1;0;0;0;0
KRAGH ANDERSEN Søren;2;0;1;0;1;0;0;0;0
EGG Oscar;2;0;1;0;0;0;0;0;0
VICHOT Frédéric;2;0;1;0;0;0;0;0;0
SØRENSEN Rolf;2;0;1;0;0;0;0;0;0
HONCHAR Serhiy;2;0;1;0;0;0;0;0;0
STEEGMANS Gert;2;0;1;0;0;0;0;0;0
TEBALDI Valerio;2;0;0;2;0;0;0;0;0
IVANOV Sergei;2;0;0;1;1;0;0;0;0
NEUENS François;2;0;0;0;2;0;0;0;0
BORGARELLO Vincenzo;2;0;0;0;1;0;0;0;0
VAN DE KERCKHOVE Bernard;2;0;0;0;1;0;0;0;0
BREU Beat;2;0;0;0;1;0;0;0;0
RICCÒ Riccardo;2;0;0;0;1;0;0;0;0
TEUNS Dylan;2;0;0;0;1;0;0;0;0
HAEMERLINCK Alfred;2;0;0;0;0;0;0;0;0
PASOTTI Alfredo;2;0;0;0;0;0;0;0;0
DE BREUKER Roger;2;0;0;0;0;0;0;0;0
DELISLE Raymond;2;0;0;0;0;0;0;0;0
PRIEM Cees;2;0;0;0;0;0;0;0;0
ARGENTIN Moreno;2;0;0;0;0;0;0;0;0
MERCADO Juan Miguel;2;0;0;0;0;0;0;0;0
CUMMINGS Steve;2;0;0;0;0;0;0;0;0
VANDENBERGHE Georges;1;8;7;5;2;0;0;0;0
DEGENKOLB John;1;7;2;6;1;0;0;0;0
EVANS Cadel;1;6;5;6;3;1;0;0;0
MARTANO Giuseppe;1;6;5;4;4;0;0;0;0
GROUSSARD Joseph;1;5;3;3;1;0;0;0;0
SKIBBY Jesper;1;5;2;2;0;0;0;0;0
SCHOTTE Briek;1;5;1;2;3;0;0;0;0
STÖPEL Kurt;1;4;8;6;4;0;0;0;0
FARRAR Tyler;1;4;4;2;0;0;0;0;0
BRUYÈRE Joseph;1;4;3;2;5;0;0;0;0
DOTTO Jean;1;4;2;1;2;0;0;0;0
SÁNCHEZ Samuel;1;4;1;1;1;0;0;1;0
ALBAN Robert;1;4;0;5;3;0;0;0;0
MAITRON Julien;1;4;0;2;1;0;0;0;0
DE VLAEMINCK Roger;1;3;4;2;3;0;0;0;0
JACOBS Jos;1;3;4;1;4;0;0;0;0
